系列,模型,任务,方法,任务类型,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_f1,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,train_examples,val_examples,test_examples,runtime_minutes,完成时间,本地summary,predictions_file,multi_label_predictions_file,best_checkpoint,来源,补齐阶段说明,数据版本说明,补齐前6组标记,可用于补齐前后对比,本地metrics路径,macro_precision,macro_recall,macro_f1,strict_precision,strict_recall,tolerant_precision,tolerant_recall
CodeLlama,codellama/CodeLlama-13b-hf,vul_line,direct,line,completed,C_autodl_rtxpro6000x8,autodl_codellama_13b_e1__vul_line__direct,,,,,0.0469568358316778,0.08511293039066116,0.21685254027261464,0.7914485767909362,91.43866171003718,,,,,,,,807,1899.3335133166665,46159.29392935185,C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_13b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_codellama_13b_e1__vul_line__direct/_root_autodl-tmp_hf_cache_worker_6_local_modelscope_CodeLlama-13b-hf/vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_13b_e1__vul_line__direct\vul_line__direct\metrics.json,,,,0.053697,0.04172,0.166873,0.057125
CodeLlama,codellama/CodeLlama-13b-hf,vul_line,prompt,line,completed,C_autodl_rtxpro6000x8,autodl_codellama_13b_e1__vul_line__prompt,,,,,0.04876286797905002,0.0898278274451798,0.2094175960346964,0.7914485767909362,91.43866171003718,,,,,,,,807,1936.87511185,46160.6389815625,C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_13b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_codellama_13b_e1__vul_line__prompt/_root_autodl-tmp_hf_cache_worker_6_local_modelscope_CodeLlama-13b-hf/vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_13b_e1__vul_line__prompt\vul_line__prompt\metrics.json,,,,0.055762,0.043325,0.173069,0.060655
CodeLlama,codellama/CodeLlama-13b-hf,vul_line,qlora,line,completed,C_autodl_rtxpro6000x8,autodl_codellama_13b_e1__vul_line__qlora,,,,,0.05237493227379447,0.08360981782123787,0.20693928128872366,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,1154.6482265999998,46161.44082065972,C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_13b_e1\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_codellama_13b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_6_local_modelscope_CodeLlama-13b-hf/vul_line__finetune/predictions_test.jsonl,,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_codellama_13b_e1__vul_line__qlora/_root_autodl-tmp_hf_cache_worker_6_local_modelscope_CodeLlama-13b-hf/vul_line__finetune/checkpoints/checkpoint-22502,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_13b_e1__vul_line__qlora\vul_line__finetune\metrics.json,,,,0.059893,0.046534,0.178852,0.054557
CodeLlama,codellama/CodeLlama-34b-hf,vul_line,direct,line,completed,C_autodl_rtxpro6000x8,autodl_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct,,,,,0.05237493227379447,0.10049946632661677,0.24535315985130113,0.7914485767909362,91.43866171003718,,,,,,,,807,589.5672987666666,46163.97940585648,C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama34b_e1_gpu1_vul_line_direct_after_wizard\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/_root_autodl-tmp_hf_cache_shared_codellama34b_safetensors_AI-ModelScope_CodeLlama-34b-hf/vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct\vul_line__direct\metrics.json,,,,0.059893,0.046534,0.174308,0.070603
CodeLlama,codellama/CodeLlama-34b-hf,vul_line,prompt,line,completed,D_westd_rtxpro6000x1,westd_codellama34b_e1_vul_line_prompt__vul_line__prompt,,,,,0.0541809644211667,0.08305224830790538,0.2057001239157373,0.7914485767909362,91.43866171003718,,,,,,,,807,660.8731305,2026-05-22T00:10:56.830112+00:00,results\remote_mirror\D_westd_rtxpro6000x1\experiments\runs\westd_codellama34b_e1_vul_line_prompt\matrix_summary.json,results\remote_mirror\D_westd_rtxpro6000x1\experiments\runs\westd_codellama34b_e1_vul_line_prompt__vul_line__prompt\vul_line__prompt\predictions.jsonl,,,local_mirror_sync_2026-05-22,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\D_westd_rtxpro6000x1\experiments\runs\westd_codellama34b_e1_vul_line_prompt__vul_line__prompt\vul_line__prompt\metrics.json,,,,0.061958,0.048139,0.1772,0.054236
CodeLlama,codellama/CodeLlama-7b-hf,vul_line,direct,line,completed,C_autodl_rtxpro6000x8,autodl_codellama_7b_e1_gpu4_retry__vul_line__direct,,,,,0.05237493227379447,0.08360981782123787,0.20693928128872366,0.7914485767909362,91.43866171003718,,,,,,,,807,1112.0946391166665,46162.33432163194,C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_7b_e1_gpu4_retry\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_codellama_7b_e1_gpu4_retry__vul_line__direct/_root_autodl-tmp_hf_cache_worker_4_modelscope_safetensors_AI-ModelScope_CodeLlama-7b-hf/vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,,,,,,,,
CodeLlama,codellama/CodeLlama-7b-hf,vul_line,prompt,line,completed,C_autodl_rtxpro6000x8,autodl_codellama_7b_e1_gpu4_retry__vul_line__prompt,,,,,0.049846487267473365,0.08700886989605774,0.20817843866171004,0.7914485767909362,91.43866171003718,,,,,,,,807,1123.9708529000002,46163.11485700231,C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_7b_e1_gpu4_retry\matrix_summary.json,/root/autodl-tmp/blockchain-vuln/project/experiments/runs/autodl_codellama_7b_e1_gpu4_retry__vul_line__prompt/_root_autodl-tmp_hf_cache_worker_4_modelscope_safetensors_AI-ModelScope_CodeLlama-7b-hf/vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_rtxpro6000x8\experiments\runs\autodl_codellama_7b_e1_gpu4_retry__vul_line__prompt\vul_line__prompt\metrics.json,,,,0.057001,0.044288,0.179265,0.057445
DeepSeek-Coder,deepseek-ai/deepseek-coder-1.3b-base,vul_line,direct,line,completed,A_8.130.211.198,machine_a_deepseekcoder13b_e1__vul_line__direct,,,,,0.056709409427487804,0.13296428042533023,0.3073110285006196,0.7914485767909362,91.43866171003718,,,,,,,,807,777.1496769333334,46159.44466653936,A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1\matrix_summary.json,/root/blockchain-vuln/project/experiments/runs/machine_a_deepseekcoder13b_e1__vul_line__direct/deepseek-ai_deepseek-coder-1.3b-base/vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_line__direct\deepseek-ai_deepseek-coder-1.3b-base\vul_line__direct\metrics.json,,,,0.064849,0.050385,0.216439,0.095956
DeepSeek-Coder,deepseek-ai/deepseek-coder-1.3b-base,vul_line,full,line,completed,A_8.130.211.198,machine_a_deepseekcoder13b_e1__vul_line__full,,,,,0.28824273072060685,0.39405798468216224,0.8376703841387856,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,652.2197644166666,46160.43912818287,A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1\matrix_summary.json,/root/blockchain-vuln/project/experiments/runs/machine_a_deepseekcoder13b_e1__vul_line__full/deepseek-ai_deepseek-coder-1.3b-base/vul_line__finetune/predictions_test.jsonl,,/root/blockchain-vuln/project/experiments/runs/machine_a_deepseekcoder13b_e1__vul_line__full/deepseek-ai_deepseek-coder-1.3b-base/vul_line__finetune/checkpoints/checkpoint-22502,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_line__full\deepseek-ai_deepseek-coder-1.3b-base\vul_line__finetune\metrics.json,,,,0.329616,0.256098,0.48988,0.329589
DeepSeek-Coder,deepseek-ai/deepseek-coder-1.3b-base,vul_line,prompt,line,completed,A_8.130.211.198,machine_a_deepseekcoder13b_e1__vul_line__prompt,,,,,0.05815423514538559,0.12534365078920698,0.2949194547707559,0.7914485767909362,91.43866171003718,,,,,,,,807,779.8049225666667,46159.98619775463,A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1\matrix_summary.json,/root/blockchain-vuln/project/experiments/runs/machine_a_deepseekcoder13b_e1__vul_line__prompt/deepseek-ai_deepseek-coder-1.3b-base/vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\machine_a_deepseekcoder13b_e1__vul_line__prompt\deepseek-ai_deepseek-coder-1.3b-base\vul_line__prompt\metrics.json,,,,0.066501,0.051669,0.220157,0.087612
