系列,模型,任务,方法,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_precision,strict_recall,strict_f1,tolerant_precision,tolerant_recall,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,parseable_ratio,format_failure_rate,empty_output_rate,train_examples,val_examples,test_examples,best_checkpoint,predictions_file,multi_label_predictions_file,本地metrics路径
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,vul_line,prompt,completed,compute_node_a,machine_a_qwen25coder3b_e1__vul_line__prompt,,,,,0.054523,0.042362,0.047679,0.197852,0.084724,0.118643,0.273854,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/machine_a_qwen25coder3b_e1__vul_line__prompt/metrics.json
补齐前后对比,Qwen/Qwen2.5-Coder-3B-Instruct,vul_line,qlora,completed,compute_node_a,machine_a_qwen25coder3b_e1__vul_line__qlora,,0.301115,0.233954,,0.402439,0.601824,0.263319,0.583333,0.644377,0.386592,0.817844,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/machine_a_qwen25coder3b_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/machine_a_qwen25coder3b_e1__vul_line__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,vul_type,direct,completed,compute_node_a,machine_a_qwen25coder3b_e1__vul_type__direct,0.22992,0.22992,0.157497,0.186939,,,,,,,,,,521,0.191939,0.191939,0.069589,0.102145,0.508091,0.137972,0.109236,,,,,,,,,1992,,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/machine_a_qwen25coder3b_e1__vul_type__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,vul_type,full,completed,compute_node_c,machine_c_qwen25coder3b_full_e1__vul_type__full,0.766064,0.766064,0.524759,0.622857,,,,,,,,,,521,0.794626,0.794626,0.2881,0.42288,0.861057,0.380924,0.463931,,,,,,,24992,3829,1992,artifacts/checkpoints/machine_c_qwen25coder3b_full_e1__vul_type__full/checkpoint-3124,artifacts/predictions/machine_c_qwen25coder3b_full_e1__vul_type__full/predictions_test.jsonl,artifacts/predictions/machine_c_qwen25coder3b_full_e1__vul_type__full/predictions_test_multi_label.jsonl,artifacts/metrics/machine_c_qwen25coder3b_full_e1__vul_type__full/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-3B-Instruct,vul_type,prompt,completed,compute_node_a,machine_a_qwen25coder3b_e1__vul_type__prompt,0.193273,0.193273,0.132393,0.157143,,,,,,,,,,521,0.191939,0.191939,0.069589,0.102145,0.286276,0.108947,0.061665,,,,,,,,,1992,,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/machine_a_qwen25coder3b_e1__vul_type__prompt/metrics.json
补齐前后对比,Qwen/Qwen2.5-Coder-3B-Instruct,vul_type,qlora,completed,compute_node_a,machine_a_qwen25coder3b_e1__vul_type__qlora,0.665663,0.665663,0.455983,0.541224,,,,,,,,,,521,0.727447,0.727447,0.263744,0.38713,0.329967,0.28005,0.287799,,,,,,,24992,3829,1992,artifacts/checkpoints/machine_a_qwen25coder3b_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/machine_a_qwen25coder3b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/machine_a_qwen25coder3b_e1__vul_type__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,has_vul,direct,completed,compute_node_c,remote_qwen25coder7b_e1__has_vul__direct,0.5141768937790944,0.6131386861313869,0.13884297520661157,0.22641509433962265,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_qwen25coder7b_e1__has_vul__direct/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,has_vul,prompt,completed,compute_node_c,remote_qwen25coder7b_e1__has_vul__prompt,0.48328396106644095,0.4729064039408867,0.07933884297520662,0.13588110403397027,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_qwen25coder7b_e1__has_vul__prompt/predictions.jsonl,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,has_vul,qlora,completed,compute_node_c,remote_qwen25coder7b_e1__has_vul__qlora,0.7520101565806179,0.751207729468599,0.7710743801652893,0.7610114192495921,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/remote_qwen25coder7b_e1__has_vul__qlora/checkpoint-2177,,,Qwen2.5-Coder
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,vul_line,direct,completed,compute_node_c,remote_qwen25coder7b_e1__vul_line__direct,,,,,0.067328,0.052311,0.058877,0.219744,0.091142,0.128845,0.307311,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_qwen25coder7b_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/remote_qwen25coder7b_e1__vul_line__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,vul_line,prompt,completed,compute_node_c,remote_qwen25coder7b_e1__vul_line__prompt,,,,,0.079306,0.061617,0.069352,0.268897,0.12837,0.173779,0.403965,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_qwen25coder7b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/remote_qwen25coder7b_e1__vul_line__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,vul_line,qlora,completed,compute_node_c,remote_qwen25coder7b_e1__vul_line__qlora,,0.315985,0.245507,,0.315985,0.245507,0.276323,0.489054,0.318999,0.386132,0.814126,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_qwen25coder7b_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/remote_qwen25coder7b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/remote_qwen25coder7b_e1__vul_line__qlora/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,vul_type,direct,completed,compute_node_c,remote_qwen25coder7b_e1__vul_type__direct,0.248996,0.248996,0.170564,0.202449,,,,,,,,,,521,0.211132,0.211132,0.076548,0.11236,0.423697,0.154467,0.114248,,,,,,,,,1992,,artifacts/predictions/remote_qwen25coder7b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_qwen25coder7b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/remote_qwen25coder7b_e1__vul_type__direct/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,vul_type,prompt,completed,compute_node_c,remote_qwen25coder7b_e1__vul_type__prompt,0.213855,0.213855,0.146492,0.173878,,,,,,,,,,521,0.191939,0.191939,0.069589,0.102145,0.269824,0.127186,0.054056,,,,,,,,,1992,,artifacts/predictions/remote_qwen25coder7b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_qwen25coder7b_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/remote_qwen25coder7b_e1__vul_type__prompt/metrics.json
Qwen2.5-Coder,Qwen/Qwen2.5-Coder-7B-Instruct,vul_type,qlora,completed,compute_node_c,remote_qwen25coder7b_e1__vul_type__qlora,0.671687,0.671687,0.46011,0.546122,,,,,,,,,,521,0.735125,0.735125,0.266527,0.391216,0.72775,0.340132,0.42079,,,,,,,24992,3829,1992,artifacts/checkpoints/remote_qwen25coder7b_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/remote_qwen25coder7b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_qwen25coder7b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/remote_qwen25coder7b_e1__vul_type__qlora/metrics.json
传统基准,Salesforce/codet5-base,has_vul,full,completed,compute_node_b,machine_b_codet5_base_full_e1__has_vul__full,0.8205670757511637,0.8330508474576271,0.812396694214876,0.8225941422594142,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/machine_b_codet5_base_full_e1__has_vul__full/checkpoint-2177,,,传统基准
传统基准,Salesforce/codet5-base,vul_line,full,completed,compute_node_d,westd_codet5_base_vul_line_full_from_b__vul_line__full,,,,,0.301941346551012,0.2345956354300385,0.264041899945819,0.4638579099545642,0.3096919127086007,0.3714125170742758,0.7967781908302355,0.7914485767909362,91.43866171003718,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/westd_codet5_base_vul_line_full_from_b__vul_line__full/checkpoint,artifacts/predictions/westd_codet5_base_vul_line_full_from_b__vul_line__full/predictions_test.jsonl,,artifacts/metrics/westd_codet5_base_vul_line_full_from_b__vul_line__full/metrics.json
传统基准,Salesforce/codet5-base,vul_type,full,completed,compute_node_b,machine_b_codet5_base_full_e1__vul_type__full,0.610944,0.610944,0.418501,0.496735,,,,,,,,,,521,0.627639,0.627639,0.227557,0.334014,0.616057,0.278115,0.335253,,,,,,,24992,3829,1992,artifacts/checkpoints/machine_b_codet5_base_full_e1__vul_type__full/checkpoint-3124,artifacts/predictions/machine_b_codet5_base_full_e1__vul_type__full/predictions_test.jsonl,artifacts/predictions/machine_b_codet5_base_full_e1__vul_type__full/predictions_test_multi_label.jsonl,artifacts/metrics/machine_b_codet5_base_full_e1__vul_type__full/metrics.json
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,has_vul,direct,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__has_vul__direct,0.4955564959796868,0.5483870967741935,0.08429752066115702,0.14613180515759314,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__has_vul__direct/predictions.jsonl,,WizardCoder
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,has_vul,prompt,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__has_vul__prompt,0.5256030469741854,0.6386292834890965,0.16942148760330578,0.2677988242978446,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__has_vul__prompt/predictions.jsonl,,WizardCoder
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,has_vul,qlora,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__has_vul__qlora,0.7270418958950486,0.7313677313677314,0.7380165289256199,0.7346770876182641,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/machine_a_wizardcoder_python_7b_e1__has_vul__qlora/checkpoint-2177,,,WizardCoder
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,vul_line,direct,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__vul_line__direct,,,,,,,0.05562579013906448,,,0.08541322161493188,0.2094175960346964,0.7914485767909362,91.43866171003718,,,,,,,,,,,,,,,,,807,,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_line__direct/predictions.jsonl,,
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,vul_line,prompt,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__vul_line__prompt,,,,,0.061545,0.047818,0.05382,0.194548,0.078947,0.112317,0.27881,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/machine_a_wizardcoder_python_7b_e1__vul_line__prompt/metrics.json
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,vul_line,qlora,completed,compute_node_c,remote_wizardcoder_python_7b_e1_gpu1_vul_line_prompt_qlora__vul_line__qlora,,0.055762,0.043325,,0.055762,0.043325,0.048763,0.173482,0.070603,0.100362,0.246592,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_wizardcoder_python_7b_e1_gpu1_vul_line_prompt_qlora__vul_line__qlora/checkpoint-22502,artifacts/predictions/remote_wizardcoder_python_7b_e1_gpu1_vul_line_prompt_qlora__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/remote_wizardcoder_python_7b_e1_gpu1_vul_line_prompt_qlora__vul_line__qlora/metrics.json
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,vul_type,direct,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__vul_type__direct,0.209337,0.209337,0.143398,0.170204,,,,,,,,,,521,0.168906,0.168906,0.061239,0.089888,0.332435,0.125889,0.056482,,,,,,,,,1992,,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/machine_a_wizardcoder_python_7b_e1__vul_type__direct/metrics.json
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,vul_type,prompt,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__vul_type__prompt,0.192269,0.192269,0.131706,0.156327,,,,,,,,,,521,0.172745,0.172745,0.06263,0.091931,0.233159,0.114263,0.052867,,,,,,,,,1992,,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/machine_a_wizardcoder_python_7b_e1__vul_type__prompt/metrics.json
WizardCoder,WizardLM/WizardCoder-Python-7B-V1.0,vul_type,qlora,completed,compute_node_a,machine_a_wizardcoder_python_7b_e1__vul_type__qlora,0.634538,0.634538,0.434663,0.515918,,,,,,,,,,521,0.706334,0.706334,0.256089,0.375894,0.672005,0.319793,0.395774,,,,,,,24992,3829,1992,artifacts/checkpoints/machine_a_wizardcoder_python_7b_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/machine_a_wizardcoder_python_7b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/machine_a_wizardcoder_python_7b_e1__vul_type__qlora/metrics.json
StarCoder2,bigcode/starcoder2-15b,has_vul,direct,completed,compute_node_c,remote_starcoder2_15b_e1__has_vul__direct,0.5116377486246297,0.7121212121212122,0.07768595041322314,0.14008941877794337,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_starcoder2_15b_e1__has_vul__direct/predictions.jsonl,,StarCoder2
StarCoder2,bigcode/starcoder2-15b,has_vul,prompt,completed,compute_node_c,remote_starcoder2_15b_e1__has_vul__prompt,0.5454930173508252,0.7411347517730497,0.17272727272727273,0.2801608579088472,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_starcoder2_15b_e1__has_vul__prompt/predictions.jsonl,,StarCoder2
StarCoder2,bigcode/starcoder2-15b,has_vul,qlora,completed,compute_node_c,remote_starcoder2_15b_e1__has_vul__qlora,0.7261955141768938,0.6745195288282703,0.8991735537190083,0.7708111937654977,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/remote_starcoder2_15b_e1__has_vul__qlora/checkpoint-2177,,,StarCoder2
StarCoder2,bigcode/starcoder2-15b,vul_line,direct,completed,compute_node_c,remote_starcoder2_15b_e1__vul_line__direct,,,,,0.073523,0.057125,0.064295,0.212722,0.09018,0.126663,0.314746,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__direct/metrics.json
StarCoder2,bigcode/starcoder2-15b,vul_line,prompt,completed,compute_node_c,remote_starcoder2_15b_e1__vul_line__prompt,,,,,0.045023,0.034981,0.039372,0.163982,0.064827,0.09292,0.22057,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__prompt/metrics.json
StarCoder2,bigcode/starcoder2-15b,vul_line,qlora,completed,compute_node_c,remote_starcoder2_15b_e1__vul_line__qlora,,0.279223,0.216945,,0.279223,0.216945,0.244176,0.515903,0.303273,0.381992,0.811648,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_starcoder2_15b_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/remote_starcoder2_15b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/remote_starcoder2_15b_e1__vul_line__qlora/metrics.json
StarCoder2,bigcode/starcoder2-15b,vul_type,direct,completed,compute_node_c,remote_starcoder2_15b_e1__vul_type__direct,0.24498,0.24498,0.167813,0.199184,,,,,,,,,,521,0.197697,0.197697,0.071677,0.105209,0.519044,0.152498,0.110677,,,,,,,,,1992,,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__direct/metrics.json
StarCoder2,bigcode/starcoder2-15b,vul_type,prompt,completed,compute_node_c,remote_starcoder2_15b_e1__vul_type__prompt,0.206827,0.206827,0.141678,0.168163,,,,,,,,,,521,0.191939,0.191939,0.069589,0.102145,0.181403,0.122151,0.058202,,,,,,,,,1992,,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__prompt/metrics.json
StarCoder2,bigcode/starcoder2-15b,vul_type,qlora,completed,compute_node_c,remote_starcoder2_15b_e1__vul_type__qlora,0.591867,0.591867,0.405433,0.481224,,,,,,,,,,521,0.648752,0.648752,0.235212,0.34525,0.636006,0.293977,0.367974,,,,,,,24992,3829,1992,artifacts/checkpoints/remote_starcoder2_15b_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_starcoder2_15b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/remote_starcoder2_15b_e1__vul_type__qlora/metrics.json
StarCoder2,bigcode/starcoder2-3b,has_vul,direct,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__direct,0.4879390605162928,0.5,0.019834710743801654,0.03815580286168521,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_starcoder2_3b_e1__has_vul__direct/predictions.jsonl,,StarCoder2
StarCoder2,bigcode/starcoder2-3b,has_vul,full,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__full,0.8489208633093526,0.8667239896818573,0.8330578512396695,0.8495575221238938,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/remote_starcoder2_3b_e1__has_vul__full/checkpoint-2177,,,StarCoder2
StarCoder2,bigcode/starcoder2-3b,has_vul,prompt,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__prompt,0.49259415996614475,0.5478260869565217,0.05206611570247934,0.09509433962264151,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_starcoder2_3b_e1__has_vul__prompt/predictions.jsonl,,StarCoder2
StarCoder2,bigcode/starcoder2-3b,has_vul,qlora,completed,compute_node_c,remote_starcoder2_3b_e1__has_vul__qlora,0.6906474820143885,0.6846569005397071,0.7338842975206612,0.7084164339848424,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/remote_starcoder2_3b_e1__has_vul__qlora/checkpoint-2177,,,StarCoder2
StarCoder2,bigcode/starcoder2-3b,vul_line,direct,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__direct,,,,,0.026022,0.020218,0.022756,0.115655,0.058729,0.077901,0.206939,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__direct/metrics.json
StarCoder2,bigcode/starcoder2-3b,vul_line,full,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__full,,0.321355,0.249679,,0.321355,0.249679,0.281019,0.483271,0.321245,0.385943,0.812887,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_line__full/checkpoint-22502,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__full/predictions_test.jsonl,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__full/metrics.json
StarCoder2,bigcode/starcoder2-3b,vul_line,prompt,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__prompt,,,,,0.075589,0.058729,0.066101,0.227592,0.100128,0.139072,0.332094,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__prompt/metrics.json
StarCoder2,bigcode/starcoder2-3b,vul_line,qlora,completed,compute_node_c,remote_starcoder2_3b_e1__vul_line__qlora,,0.242049,0.188062,,0.242049,0.188062,0.211667,0.484511,0.263479,0.341337,0.744734,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/remote_starcoder2_3b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/remote_starcoder2_3b_e1__vul_line__qlora/metrics.json
StarCoder2,bigcode/starcoder2-3b,vul_type,direct,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__direct,0.215863,0.215863,0.147868,0.17551,,,,,,,,,,521,0.18618,0.18618,0.067502,0.099081,0.470337,0.141437,0.097175,,,,,,,,,1992,,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__direct/metrics.json
StarCoder2,bigcode/starcoder2-3b,vul_type,full,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__full,0.726406,0.726406,0.497593,0.590612,,,,,,,,,,521,0.756238,0.756238,0.274182,0.402451,0.809363,0.365498,0.45042,,,,,,,24992,3829,1992,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_type__full/checkpoint-3124,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__full/predictions_test.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__full/predictions_test_multi_label.jsonl,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__full/metrics.json
StarCoder2,bigcode/starcoder2-3b,vul_type,prompt,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__prompt,0.190261,0.190261,0.13033,0.154694,,,,,,,,,,521,0.178503,0.178503,0.064718,0.094995,0.164652,0.115455,0.050322,,,,,,,,,1992,,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__prompt/predictions_multi_label.jsonl,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__prompt/metrics.json
StarCoder2,bigcode/starcoder2-3b,vul_type,qlora,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__qlora,0.464859,0.464859,0.318432,0.377959,,,,,,,,,,521,0.472169,0.472169,0.17119,0.251277,0.367341,0.222448,0.255761,,,,,,,24992,3829,1992,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_type__qlora/checkpoint-3124,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__qlora/metrics.json
StarCoder2,bigcode/starcoder2-7b,has_vul,direct,completed,compute_node_c,remote_starcoder2_7b_e1__has_vul__direct,0.4777824798984342,0.39285714285714285,0.03636363636363636,0.06656580937972768,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_starcoder2_7b_e1__has_vul__direct/predictions.jsonl,,StarCoder2
StarCoder2,bigcode/starcoder2-7b,has_vul,prompt,completed,compute_node_c,remote_starcoder2_7b_e1__has_vul__prompt,0.4807448159119763,0.44516129032258067,0.05702479338842975,0.1010989010989011,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,artifacts/predictions/remote_starcoder2_7b_e1__has_vul__prompt/predictions.jsonl,,StarCoder2
StarCoder2,bigcode/starcoder2-7b,has_vul,qlora,completed,compute_node_c,remote_starcoder2_7b_e1__has_vul__qlora,0.7490478205670758,0.7502027575020276,0.7644628099173554,0.7572656569791241,,,,,,,,,,,,,,,,,,,,,,,,17411,4667,2363,artifacts/checkpoints/remote_starcoder2_7b_e1__has_vul__qlora/checkpoint-2177,,,StarCoder2
StarCoder2,bigcode/starcoder2-7b,vul_line,direct,completed,compute_node_c,remote_starcoder2_7b_e1__vul_line__direct,,,,,0.047914,0.037227,0.0419,0.178439,0.067073,0.097498,0.232962,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__direct/predictions.jsonl,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__direct/metrics.json
StarCoder2,bigcode/starcoder2-7b,vul_line,prompt,completed,compute_node_c,remote_starcoder2_7b_e1__vul_line__prompt,,,,,0.050392,0.039153,0.044067,0.168938,0.060655,0.089261,0.209418,0.791449,91.438662,,,,,,,,,,,,,,,,,807,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__prompt/predictions.jsonl,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__prompt/metrics.json
StarCoder2,bigcode/starcoder2-7b,vul_line,qlora,completed,compute_node_c,remote_starcoder2_7b_e1__vul_line__qlora,,0.256093,0.198973,,0.256093,0.198973,0.223948,0.494424,0.294608,0.369215,0.780669,0.791449,91.438662,,,,,,,,,,,,,,,10155,1529,807,artifacts/checkpoints/remote_starcoder2_7b_e1__vul_line__qlora/checkpoint-22502,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__qlora/metrics.json
StarCoder2,bigcode/starcoder2-7b,vul_type,direct,completed,compute_node_c,remote_starcoder2_7b_e1__vul_type__direct,0.235944,0.235944,0.161623,0.191837,,,,,,,,,,521,0.180422,0.180422,0.065414,0.096016,0.508886,0.14947,0.092907,,,,,,,,,1992,,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__direct/predictions_multi_label.jsonl,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__direct/metrics.json
