系列,模型,任务,方法,任务类型,状态,执行机器,run_name,accuracy,precision,recall,f1,strict_f1,tolerant_f1,contract_hit,candidate_recall,avg_candidates_per_contract,multi_label_examples,multi_label_hit_accuracy,multi_label_precision,multi_label_recall,multi_label_f1,train_examples,val_examples,test_examples,runtime_minutes,完成时间,本地summary,predictions_file,multi_label_predictions_file,best_checkpoint,来源,补齐阶段说明,数据版本说明,补齐前6组标记,可用于补齐前后对比,本地metrics路径,parseable_ratio,format_failure_rate,empty_output_rate,备注,本地metrics闭合状态,闭合审计说明,macro_precision,macro_recall,macro_f1,strict_precision,strict_recall,tolerant_precision,tolerant_recall
StarCoder2,bigcode/starcoder2-3b,vul_type,qlora,type,completed,compute_node_c,remote_starcoder2_3b_e1__vul_type__qlora,0.464859437751004,0.464859437751004,0.3184319119669876,0.3779591836734694,,,,,,521,0.472168905950096,0.472168905950096,0.17118997912317327,0.2512768130745659,24992,3829,1992,49.557080733333336,46160.23617537037,artifacts/summaries/remote_starcoder2_3b_e1__vul_type__qlora/matrix_summary.json,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_type__qlora/checkpoint-3124,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__qlora/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__qlora/metrics.json,0.367341,0.222448,0.255761,,,,
StarCoder2,bigcode/starcoder2-7b,has_vul,direct,has,completed,compute_node_c,remote_starcoder2_7b_e1__has_vul__direct,0.4777824798984342,0.39285714285714285,0.03636363636363636,0.06656580937972768,,,,,,,,,,,,,2363,35.186299266666666,46157.40391070602,artifacts/summaries/remote_starcoder2_7b_e1__has_vul__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__has_vul__direct/predictions.jsonl,,,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__has_vul__direct/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-7b,has_vul,prompt,has,completed,compute_node_c,remote_starcoder2_7b_e1__has_vul__prompt,0.4807448159119763,0.44516129032258067,0.05702479338842975,0.1010989010989011,,,,,,,,,,,,,2363,35.619878533333335,46157.42864677083,artifacts/summaries/remote_starcoder2_7b_e1__has_vul__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__has_vul__prompt/predictions.jsonl,,,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__has_vul__prompt/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-7b,has_vul,qlora,has,completed,compute_node_c,remote_starcoder2_7b_e1__has_vul__qlora,0.7490478205670758,0.7502027575020276,0.7644628099173554,0.7572656569791241,,,,,,,,,,,17411,4667,2363,70.03391945,46157.47728146991,artifacts/summaries/remote_starcoder2_7b_e1__has_vul__qlora/matrix_summary.json,,,artifacts/checkpoints/remote_starcoder2_7b_e1__has_vul__qlora/checkpoint-2177,matrix_summary,,,,,,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__has_vul__qlora/metrics.json,,,,,,,
StarCoder2,bigcode/starcoder2-7b,vul_line,direct,line,completed,compute_node_c,remote_starcoder2_7b_e1__vul_line__direct,,,,,0.041899945819035576,0.09749792262948942,0.23296158612143741,0.7914485767909362,91.43866171003718,,,,,,,,807,1085.63289715,46158.34002634259,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__direct/predictions.jsonl,,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__direct/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__direct/metrics.json,,,,0.047914,0.037227,0.178439,0.067073
StarCoder2,bigcode/starcoder2-7b,vul_line,prompt,line,completed,compute_node_c,remote_starcoder2_7b_e1__vul_line__prompt,,,,,0.044067184395882246,0.08926145473503952,0.2094175960346964,0.7914485767909362,91.43866171003718,,,,,,,,807,1091.9522597333334,46159.0983265625,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__prompt/predictions.jsonl,,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__prompt/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__prompt/metrics.json,,,,0.050392,0.039153,0.168938,0.060655
StarCoder2,bigcode/starcoder2-7b,vul_line,qlora,line,completed,compute_node_c,remote_starcoder2_7b_e1__vul_line__qlora,,,,,0.22394798627415566,0.36921541648396505,0.7806691449814126,0.7914485767909362,91.43866171003718,,,,,,10155,1529,807,579.1747540833334,46159.50053130787,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__qlora/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__qlora/predictions_test.jsonl,,artifacts/checkpoints/remote_starcoder2_7b_e1__vul_line__qlora/checkpoint-22502,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__qlora/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__qlora/metrics.json,,,,0.256093,0.198973,0.494424,0.294608
StarCoder2,bigcode/starcoder2-7b,vul_type,direct,type,completed,compute_node_c,remote_starcoder2_7b_e1__vul_type__direct,0.2359437751004016,0.2359437751004016,0.16162310866574967,0.19183673469387755,,,,,,521,0.18042226487523993,0.18042226487523993,0.06541405706332637,0.09601634320735444,,,1992,30.0923355,46157.49817895833,artifacts/summaries/remote_starcoder2_7b_e1__vul_type__direct/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__direct/predictions.jsonl,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__direct/predictions_multi_label.jsonl,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__direct/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__direct/metrics.json,0.508886,0.14947,0.092907,,,,
StarCoder2,bigcode/starcoder2-7b,vul_type,prompt,type,completed,compute_node_c,remote_starcoder2_7b_e1__vul_type__prompt,0.1932730923694779,0.1932730923694779,0.13239339752407153,0.15714285714285714,,,,,,521,0.18042226487523993,0.18042226487523993,0.06541405706332637,0.09601634320735444,,,1992,30.88066405,46157.51962391203,artifacts/summaries/remote_starcoder2_7b_e1__vul_type__prompt/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__prompt/predictions.jsonl,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__prompt/predictions_multi_label.jsonl,,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__prompt/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__prompt/metrics.json,0.295116,0.116619,0.052142,,,,
StarCoder2,bigcode/starcoder2-7b,vul_type,qlora,type,completed,compute_node_c,remote_starcoder2_7b_e1__vul_type__qlora,0.5582329317269076,0.5582329317269076,0.38239339752407153,0.4538775510204081,,,,,,521,0.6084452975047985,0.6084452975047985,0.22059846903270702,0.3237997957099081,24992,3829,1992,95.74645891666667,46157.58611454861,artifacts/summaries/remote_starcoder2_7b_e1__vul_type__qlora/matrix_summary.json,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__qlora/predictions_test.jsonl,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,artifacts/checkpoints/remote_starcoder2_7b_e1__vul_type__qlora/checkpoint-3124,matrix_summary,,,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__qlora/metrics.json,,,,,已闭合,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__qlora/metrics.json,0.456319,0.243279,0.286028,,,,
