accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,runtime_minutes,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,任务,任务类型,可用于补齐前后对比,备注,完成时间,执行机器,数据版本说明,方法,本地metrics路径,本地metrics闭合状态,本地summary,来源,模型,状态,系列,补齐前6组标记,补齐阶段说明,闭合审计说明
0.464859437751004,,artifacts/checkpoints/remote_starcoder2_3b_e1__vul_type__qlora/checkpoint-3124,,,,0.3779591836734694,,0.255761,0.367341,0.222448,521,0.2512768130745659,0.472168905950096,0.472168905950096,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,0.17118997912317327,,0.464859437751004,artifacts/predictions/remote_starcoder2_3b_e1__vul_type__qlora/predictions_test.jsonl,0.3184319119669876,remote_starcoder2_3b_e1__vul_type__qlora,49.557080733333336,,,,1992,,,,24992,3829,vul_type,type,,,46160.23617537037,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__qlora/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_3b_e1__vul_type__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-3b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_3b_e1__vul_type__qlora/metrics.json
0.4777824798984342,,,,,,0.06656580937972768,,,,,,,,,,,,0.39285714285714285,artifacts/predictions/remote_starcoder2_7b_e1__has_vul__direct/predictions.jsonl,0.03636363636363636,remote_starcoder2_7b_e1__has_vul__direct,35.186299266666666,,,,2363,,,,,,has_vul,has,,,46157.40391070602,compute_node_c,,direct,,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__has_vul__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__has_vul__direct/metrics.json
0.4807448159119763,,,,,,0.1010989010989011,,,,,,,,,,,,0.44516129032258067,artifacts/predictions/remote_starcoder2_7b_e1__has_vul__prompt/predictions.jsonl,0.05702479338842975,remote_starcoder2_7b_e1__has_vul__prompt,35.619878533333335,,,,2363,,,,,,has_vul,has,,,46157.42864677083,compute_node_c,,prompt,,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__has_vul__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__has_vul__prompt/metrics.json
0.7490478205670758,,artifacts/checkpoints/remote_starcoder2_7b_e1__has_vul__qlora/checkpoint-2177,,,,0.7572656569791241,,,,,,,,,,,,0.7502027575020276,,0.7644628099173554,remote_starcoder2_7b_e1__has_vul__qlora,70.03391945,,,,2363,,,,17411,4667,has_vul,has,,,46157.47728146991,compute_node_c,,qlora,,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__has_vul__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__has_vul__qlora/metrics.json
,91.43866171003718,,0.7914485767909362,0.23296158612143741,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__direct/predictions.jsonl,,remote_starcoder2_7b_e1__vul_line__direct,1085.63289715,0.041899945819035576,0.047914,0.037227,807,0.09749792262948942,0.178439,0.067073,,,vul_line,line,,,46158.34002634259,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__direct/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__direct/metrics.json
,91.43866171003718,,0.7914485767909362,0.2094175960346964,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__prompt/predictions.jsonl,,remote_starcoder2_7b_e1__vul_line__prompt,1091.9522597333334,0.044067184395882246,0.050392,0.039153,807,0.08926145473503952,0.168938,0.060655,,,vul_line,line,,,46159.0983265625,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__prompt/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__prompt/metrics.json
,91.43866171003718,artifacts/checkpoints/remote_starcoder2_7b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,0.7806691449814126,,,,,,,,,,,,,,,artifacts/predictions/remote_starcoder2_7b_e1__vul_line__qlora/predictions_test.jsonl,,remote_starcoder2_7b_e1__vul_line__qlora,579.1747540833334,0.22394798627415566,0.256093,0.198973,807,0.36921541648396505,0.494424,0.294608,10155,1529,vul_line,line,,,46159.50053130787,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__qlora/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__vul_line__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_line__qlora/metrics.json
0.2359437751004016,,,,,,0.19183673469387755,,0.092907,0.508886,0.14947,521,0.09601634320735444,0.18042226487523993,0.18042226487523993,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__direct/predictions_multi_label.jsonl,0.06541405706332637,,0.2359437751004016,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__direct/predictions.jsonl,0.16162310866574967,remote_starcoder2_7b_e1__vul_type__direct,30.0923355,,,,1992,,,,,,vul_type,type,,,46157.49817895833,compute_node_c,,direct,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__direct/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__vul_type__direct/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__direct/metrics.json
0.1932730923694779,,,,,,0.15714285714285714,,0.052142,0.295116,0.116619,521,0.09601634320735444,0.18042226487523993,0.18042226487523993,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__prompt/predictions_multi_label.jsonl,0.06541405706332637,,0.1932730923694779,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__prompt/predictions.jsonl,0.13239339752407153,remote_starcoder2_7b_e1__vul_type__prompt,30.88066405,,,,1992,,,,,,vul_type,type,,,46157.51962391203,compute_node_c,,prompt,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__prompt/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__vul_type__prompt/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__prompt/metrics.json
0.5582329317269076,,artifacts/checkpoints/remote_starcoder2_7b_e1__vul_type__qlora/checkpoint-3124,,,,0.4538775510204081,,0.286028,0.456319,0.243279,521,0.3237997957099081,0.6084452975047985,0.6084452975047985,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,0.22059846903270702,,0.5582329317269076,artifacts/predictions/remote_starcoder2_7b_e1__vul_type__qlora/predictions_test.jsonl,0.38239339752407153,remote_starcoder2_7b_e1__vul_type__qlora,95.74645891666667,,,,1992,,,,24992,3829,vul_type,type,,,46157.58611454861,compute_node_c,,qlora,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__qlora/metrics.json,已闭合,artifacts/summaries/remote_starcoder2_7b_e1__vul_type__qlora/matrix_summary.json,matrix_summary,bigcode/starcoder2-7b,completed,StarCoder2,,,artifacts/metrics/remote_starcoder2_7b_e1__vul_type__qlora/metrics.json
