Prompt模板,accuracy,avg_min_distance,contract_hit,empty_output_count,empty_output_rate,f1,format_failure_count,format_failure_rate,hit_accuracy,macro_f1,macro_precision,macro_recall,metrics_path,multi_label_accuracy,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_macro_f1,multi_label_macro_precision,multi_label_macro_recall,multi_label_precision,multi_label_recall,parse_ok,parse_total,parseable_ratio,precision,predictions_file,recall,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,top_k_hit,任务,数据集,机器/来源,模型,模式,版本,状态
ablation_p2,,31.86350974930362,0.1463414634146341,94,0.573170731707317,,164,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,164,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.07267441860465117,0.06963788300835655,0.07598784194528875,164,0.1349432210648468,0.2061281337047354,0.1003039513677812,0.07926829268292683,vul_line,原始3000条,,Qwen2.5-Coder-3B-Instruct,prompt,P2,completed
ablation_p3,,30.57416267942584,0.1524390243902439,94,0.573170731707317,,164,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,164,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.06961178045515395,0.06220095693779904,0.0790273556231003,164,0.1342281879194631,0.1818181818181818,0.1063829787234043,0.08536585365853659,vul_line,原始3000条,,Qwen2.5-Coder-3B-Instruct,prompt,P3,completed
ablation_p0,0.1304347826086956,,,0,0,0.1189801699716714,161,1,0.1304347826086956,0.1617626917355307,0.5562056737588652,0.2304606625258799,artifacts/metrics/unassigned_run/metrics.json,0.1153846153846154,26,0.07228915662650602,0.1153846153846154,0.06018518518518519,0.135,0.15,0.1153846153846154,0.05263157894736842,0,161,0,0.1304347826086956,artifacts/predictions/unassigned_run/predictions.jsonl,0.109375,,,,161,,,,,vul_type,原始3000条,,Qwen2.5-Coder-3B-Instruct,direct,P0,completed
ablation_p1,0.1428571428571428,,,0,0,0.1303116147308782,161,1,0.1428571428571428,0.1714215498877036,0.4167504144218815,0.2406067664219838,artifacts/metrics/unassigned_run/metrics.json,0.1923076923076923,26,0.1204819277108434,0.1923076923076923,0.04464285714285714,0.02717391304347826,0.125,0.1923076923076923,0.08771929824561403,0,161,0,0.1428571428571428,artifacts/predictions/unassigned_run/predictions.jsonl,0.1197916666666667,,,,161,,,,,vul_type,原始3000条,,Qwen2.5-Coder-3B-Instruct,prompt,P1,completed
ablation_p2,0.1366459627329193,,,0,0,0.1246458923512748,159,0.9875776397515528,0.1366459627329193,0.1355206245451876,0.5186029411764705,0.2158502729154903,artifacts/metrics/unassigned_run/metrics.json,0.1923076923076923,26,0.1204819277108434,0.1923076923076923,0.06847826086956522,0.04340277777777778,0.1625,0.1923076923076923,0.08771929824561403,2,161,0.0124223602484472,0.1366459627329193,artifacts/predictions/unassigned_run/predictions.jsonl,0.1145833333333333,,,,161,,,,,vul_type,原始3000条,,Qwen2.5-Coder-3B-Instruct,prompt,P2,completed
ablation_p3,0.1428571428571428,,,0,0,0.1303116147308782,160,0.9937888198757764,0.1428571428571428,0.1335698630342274,0.5227933541017653,0.2393892339544513,artifacts/metrics/unassigned_run/metrics.json,0.1923076923076923,26,0.1204819277108434,0.1923076923076923,0.06847826086956522,0.04340277777777778,0.1625,0.1923076923076923,0.08771929824561403,1,161,0.006211180124223602,0.1428571428571428,artifacts/predictions/unassigned_run/predictions.jsonl,0.1197916666666667,,,,161,,,,,vul_type,原始3000条,,Qwen2.5-Coder-3B-Instruct,prompt,P3,completed
ablation_p0,,87.05434782608695,0.124223602484472,4,0.02484472049689441,,161,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,161,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.07037037037037036,0.1032608695652174,0.05337078651685393,161,0.08598917618761275,0.1413043478260869,0.06179775280898876,0.1180124223602484,vul_line,原始3000条,C,Qwen2.5-Coder-7B-Instruct,direct,P0,completed
ablation_p1,,69.43715846994536,0.124223602484472,12,0.07453416149068323,,161,1,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,0,161,0,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.0705009276437848,0.1038251366120219,0.05337078651685393,161,0.08710954685437748,0.1475409836065574,0.06179775280898876,0.1180124223602484,vul_line,原始3000条,C,Qwen2.5-Coder-7B-Instruct,prompt,P1,completed
ablation_p2,,41.97540983606557,0.124223602484472,66,0.4099378881987578,,157,0.9751552795031055,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,4,161,0.02484472049689441,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.07531380753138074,0.1475409836065574,0.05056179775280899,161,0.09205020920502091,0.180327868852459,0.06179775280898876,0.124223602484472,vul_line,原始3000条,C,Qwen2.5-Coder-7B-Instruct,prompt,P2,completed
ablation_p3,,38.77941176470588,0.124223602484472,66,0.4099378881987578,,158,0.9813664596273292,,,,,artifacts/metrics/unassigned_run/metrics.json,,,,,,,,,,3,161,0.01863354037267081,,artifacts/predictions/unassigned_run/predictions.jsonl,,0.07723577235772358,0.1397058823529412,0.05337078651685393,161,0.08943089430894309,0.1617647058823529,0.06179775280898876,0.124223602484472,vul_line,原始3000条,C,Qwen2.5-Coder-7B-Instruct,prompt,P3,completed
ablation_p0,0.1677018633540373,,,0,0,0.1529745042492918,161,1,0.1677018633540373,0.2862134142463577,0.6523148148148148,0.3396180359495577,artifacts/metrics/unassigned_run/metrics.json,0.1923076923076923,26,0.1204819277108434,0.1923076923076923,0.1866666666666667,0.2608695652173913,0.275,0.1923076923076923,0.08771929824561403,0,161,0,0.1677018633540373,artifacts/predictions/unassigned_run/predictions.jsonl,0.140625,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-7B-Instruct,direct,P0,completed
ablation_p1,0.1739130434782609,,,0,0,0.1586402266288952,161,1,0.1739130434782609,0.2603163428497951,0.5627422480620154,0.3341391398456616,artifacts/metrics/unassigned_run/metrics.json,0.2692307692307692,26,0.1686746987951807,0.2692307692307692,0.1696428571428572,0.1521739130434783,0.25,0.2692307692307692,0.1228070175438596,0,161,0,0.1739130434782609,artifacts/predictions/unassigned_run/predictions.jsonl,0.1458333333333333,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-7B-Instruct,prompt,P1,completed
ablation_p2,0.1677018633540373,,,0,0,0.1529745042492918,154,0.9565217391304348,0.1677018633540373,0.2326505739088453,0.6204573934837093,0.3033096884999059,artifacts/metrics/unassigned_run/metrics.json,0.2692307692307692,26,0.1686746987951807,0.2692307692307692,0.1696428571428572,0.1521739130434783,0.25,0.2692307692307692,0.1228070175438596,7,161,0.04347826086956522,0.1677018633540373,artifacts/predictions/unassigned_run/predictions.jsonl,0.140625,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-7B-Instruct,prompt,P2,completed
ablation_p3,0.1614906832298137,,,0,0,0.1473087818696884,153,0.9503105590062112,0.1614906832298137,0.215241279864754,0.6129397654584222,0.2755093638245812,artifacts/metrics/unassigned_run/metrics.json,0.2307692307692308,26,0.144578313253012,0.2307692307692308,0.1279761904761905,0.1521739130434783,0.1875,0.2307692307692308,0.1052631578947368,8,161,0.04968944099378882,0.1614906832298137,artifacts/predictions/unassigned_run/predictions.jsonl,0.1354166666666667,,,,161,,,,,vul_type,原始3000条,C,Qwen2.5-Coder-7B-Instruct,prompt,P3,completed
