accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,strict_f1,strict_precision,strict_recall,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,weighted_f1,weighted_precision,weighted_recall,任务,执行机器,方法,本地metrics路径,模型,系列,结果状态,计划标记,说明
0.190261,,,,,,0.154694,,0.050147,0.166833,0.114292,521,0.096016,0.180422,0.180422,artifacts/predictions/remote_codellama_13b_e1__vul_type__prompt/predictions_multi_label.jsonl,0.065414,,0.190261,artifacts/predictions/remote_codellama_13b_e1__vul_type__prompt/predictions.jsonl,0.13033,remote_codellama_13b_e1__vul_type__prompt,,,,1992,,,,,,,,,vul_type,compute_node_c,prompt,artifacts/metrics/remote_codellama_13b_e1__vul_type__prompt/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__vul_type__prompt/metrics.json
0.632028,,artifacts/checkpoints/remote_codellama_13b_e1__vul_type__qlora/checkpoint-3124,,,,0.513878,,0.376887,0.702139,0.309242,521,0.372829,0.700576,0.700576,artifacts/predictions/remote_codellama_13b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,0.254001,,0.632028,artifacts/predictions/remote_codellama_13b_e1__vul_type__qlora/predictions_test.jsonl,0.432944,remote_codellama_13b_e1__vul_type__qlora,,,,1992,,,,24992,3829,,,,vul_type,compute_node_c,qlora,artifacts/metrics/remote_codellama_13b_e1__vul_type__qlora/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_13b_e1__vul_type__qlora/metrics.json
0.5095217943292425,,,,,,0.16917562724014337,,,,,,,,,,,,0.6378378378378379,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__direct/predictions.jsonl,0.09752066115702479,remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__direct,,,,2363,,,,,,,,,has_vul,compute_node_c,direct,CodeLlama,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__direct/metrics.json
0.5069826491747779,,,,,,0.17199715707178392,,,,,,,,,,,,0.6142131979695431,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__prompt/predictions.jsonl,0.1,remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__prompt,,,,2363,,,,,,,,,has_vul,compute_node_c,prompt,CodeLlama,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__prompt/metrics.json
0.7790943715615742,,artifacts/checkpoints/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__qlora/checkpoint-2177,,,,0.7876322213181448,,,,,,,,,,,,0.7756410256410257,,0.8,remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__qlora,,,,2363,,,,17411,4667,,,,has_vul,compute_node_c,qlora,CodeLlama,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__qlora/metrics.json
,91.438662,,0.791449,0.245353,,,,,,,,,,,,,,,artifacts/predictions/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/predictions.jsonl,,remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct,0.052375,0.059893,0.046534,807,0.100499,0.174308,0.070603,,,,,,vul_line,compute_node_c,direct,artifacts/metrics/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/metrics.json
,91.438662,,0.791449,0.2057,,,,,,,,,,,,,,,artifacts/predictions/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/predictions.jsonl,,westd_codellama34b_e1_vul_line_prompt__vul_line__prompt,0.054181,0.061958,0.048139,807,0.083052,0.1772,0.054236,,,,,,vul_line,compute_node_d,prompt,artifacts/metrics/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/metrics.json
,91.438662,artifacts/checkpoints/remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora/checkpoint-22502,0.791449,0.821561,,,,,,,,,,,,,,0.317637,artifacts/predictions/remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora/predictions_test.jsonl,0.246791,remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora,0.277768,0.317637,0.246791,807,0.396395,0.51012,0.324134,10155,1529,,,,vul_line,compute_node_c,qlora,artifacts/metrics/remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,有结果,运行中,artifacts/metrics/remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora/metrics.json
0.211847,,,,,,0.172245,,0.084174,0.610588,0.135535,521,0.102145,0.191939,0.191939,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct/predictions_multi_label.jsonl,0.069589,,0.211847,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct/predictions.jsonl,0.145117,remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct,,,,1992,,,,,,,,,vul_type,compute_node_c,direct,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct/metrics.json
0.191265,,,,,,0.15551,,0.052863,0.292267,0.115654,521,0.096016,0.180422,0.180422,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt/predictions_multi_label.jsonl,0.065414,,0.191265,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt/predictions.jsonl,0.131018,remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt,,,,1992,,,,,,,,,vul_type,compute_node_c,prompt,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt/metrics.json
0.633534,,artifacts/checkpoints/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora/checkpoint-3124,,,,0.515102,,0.381811,0.705133,0.312854,521,0.362615,0.681382,0.681382,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora/predictions_test_multi_label.jsonl,0.247042,,0.633534,artifacts/predictions/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora/predictions_test.jsonl,0.433975,remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora,,,,1992,,,,24992,3829,,,,vul_type,compute_node_c,qlora,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__qlora/metrics.json
0.524333474396953,,,,,,0.21288515406162464,,,,,,,,,,,,0.6972477064220184,artifacts/predictions/remote_codellama_7b_e1_gpu4_retry__has_vul__direct/predictions.jsonl,0.1256198347107438,remote_codellama_7b_e1_gpu4_retry__has_vul__direct,,,,2363,,,,,,,,,has_vul,compute_node_c,direct,CodeLlama,codellama/CodeLlama-7b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_7b_e1_gpu4_retry__has_vul__direct/metrics.json
0.5289885738468049,,,,,,0.25151311365164764,,,,,,,,,,,,0.6750902527075813,artifacts/predictions/remote_codellama_7b_e1_gpu4_retry__has_vul__prompt/predictions.jsonl,0.15454545454545454,remote_codellama_7b_e1_gpu4_retry__has_vul__prompt,,,,2363,,,,,,,,,has_vul,compute_node_c,prompt,CodeLlama,codellama/CodeLlama-7b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_7b_e1_gpu4_retry__has_vul__prompt/metrics.json
0.7761320355480321,,artifacts/checkpoints/remote_codellama_7b_e1_gpu4_retry__has_vul__qlora/checkpoint-2177,,,,0.7780109106168694,,,,,,,,,,,,0.7902813299232737,,0.7661157024793388,remote_codellama_7b_e1_gpu4_retry__has_vul__qlora,,,,2363,,,,17411,4667,,,,has_vul,compute_node_c,qlora,CodeLlama,codellama/CodeLlama-7b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_7b_e1_gpu4_retry__has_vul__qlora/metrics.json
,91.43866171003718,,0.7914485767909362,0.20693928128872366,,,,,,,,,,,,,,,artifacts/predictions/remote_codellama_7b_e1_gpu4_retry__vul_line__direct/predictions.jsonl,,remote_codellama_7b_e1_gpu4_retry__vul_line__direct,0.05237493227379447,,,807,0.08360981782123787,,,,,,,,vul_line,compute_node_c,direct,,codellama/CodeLlama-7b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_7b_e1_gpu4_retry__vul_line__direct/metrics.json
,91.438662,,0.791449,0.208178,,,,,,,,,,,,,,,artifacts/predictions/remote_codellama_7b_e1_gpu4_retry__vul_line__prompt/predictions.jsonl,,remote_codellama_7b_e1_gpu4_retry__vul_line__prompt,0.049846,0.057001,0.044288,807,0.087009,0.179265,0.057445,,,,,,vul_line,compute_node_c,prompt,artifacts/metrics/remote_codellama_7b_e1_gpu4_retry__vul_line__prompt/metrics.json,codellama/CodeLlama-7b-hf,CodeLlama,有结果,已完成,artifacts/metrics/remote_codellama_7b_e1_gpu4_retry__vul_line__prompt/metrics.json
,91.438662,artifacts/checkpoints/westd_codellama7b_e1_vul_line_qlora_from_b__vul_line/checkpoint-22502,0.791449,0.804213,,,,,,,,,,,,,,0.301528,artifacts/predictions/westd_codellama7b_e1_vul_line_qlora_from_b__vul_line/predictions_test.jsonl,0.234275,westd_codellama7b_e1_vul_line_qlora_from_b__vul_line,0.263681,0.301528,0.234275,807,0.388075,0.51425,0.311617,10155,1529,,,,vul_line,compute_node_d,qlora,artifacts/metrics/westd_codellama7b_e1_vul_line_qlora_from_b__vul_line/metrics.json,codellama/CodeLlama-7b-hf,CodeLlama,有结果,运行中,artifacts/metrics/westd_codellama7b_e1_vul_line_qlora_from_b__vul_line/metrics.json
