accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,completed_time,contract_hit,dataset_view,execution_source,expansion_stage,f1,macro_f1,macro_precision,macro_recall,method,metrics_path,model,model_family,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,paired_expansion_counterpart,pre_expansion_pair_marker,precision,predictions_file,recall,run_name,runtime_minutes,source,status,strict_f1,strict_precision,strict_recall,summary_path,task,task_type,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples
,91.43866171003718,,0.7914485767909362,46159.29392935185,0.21685254027261464,,compute_node_c,,,,,,direct,artifacts/metrics/remote_codellama_13b_e1__vul_line__direct/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,,,,,,,,,,artifacts/predictions/remote_codellama_13b_e1__vul_line__direct/predictions.jsonl,,remote_codellama_13b_e1__vul_line__direct,1899.3335133166665,matrix_summary,completed,0.0469568358316778,0.053697,0.04172,artifacts/summaries/remote_codellama_13b_e1__vul_line__direct/matrix_summary.json,vul_line,line,807,0.08511293039066116,0.166873,0.057125,,
,91.43866171003718,,0.7914485767909362,46160.6389815625,0.2094175960346964,,compute_node_c,,,,,,prompt,artifacts/metrics/remote_codellama_13b_e1__vul_line__prompt/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,,,,,,,,,,artifacts/predictions/remote_codellama_13b_e1__vul_line__prompt/predictions.jsonl,,remote_codellama_13b_e1__vul_line__prompt,1936.87511185,matrix_summary,completed,0.04876286797905002,0.055762,0.043325,artifacts/summaries/remote_codellama_13b_e1__vul_line__prompt/matrix_summary.json,vul_line,line,807,0.0898278274451798,0.173069,0.060655,,
,91.43866171003718,artifacts/checkpoints/remote_codellama_13b_e1__vul_line__qlora/checkpoint-22502,0.7914485767909362,46161.44082065972,0.20693928128872366,,compute_node_c,,,,,,qlora,artifacts/metrics/remote_codellama_13b_e1__vul_line__qlora/metrics.json,codellama/CodeLlama-13b-hf,CodeLlama,,,,,,,,,,artifacts/predictions/remote_codellama_13b_e1__vul_line__qlora/predictions_test.jsonl,,remote_codellama_13b_e1__vul_line__qlora,1154.6482265999998,matrix_summary,completed,0.05237493227379447,0.059893,0.046534,artifacts/summaries/remote_codellama_13b_e1__vul_line__qlora/matrix_summary.json,vul_line,line,807,0.08360981782123787,0.178852,0.054557,10155,1529
,91.43866171003718,,0.7914485767909362,46163.97940585648,0.24535315985130113,,compute_node_c,,,,,,direct,artifacts/metrics/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,,,,,,,,,,artifacts/predictions/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/predictions.jsonl,,remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct,589.5672987666666,matrix_summary,completed,0.05237493227379447,0.059893,0.046534,artifacts/summaries/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/matrix_summary.json,vul_line,line,807,0.10049946632661677,0.174308,0.070603,,
,91.43866171003718,,0.7914485767909362,2026-05-22T00:10:56.830112+00:00,0.2057001239157373,,compute_node_d,,,,,,prompt,artifacts/metrics/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/metrics.json,codellama/CodeLlama-34b-hf,CodeLlama,,,,,,,,,,artifacts/predictions/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/predictions.jsonl,,westd_codellama34b_e1_vul_line_prompt__vul_line__prompt,660.8731305,local_mirror_sync_2026-05-22,completed,0.0541809644211667,0.061958,0.048139,artifacts/summaries/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/matrix_summary.json,vul_line,line,807,0.08305224830790538,0.1772,0.054236,,
,91.43866171003718,,0.7914485767909362,46162.33432163194,0.20693928128872366,,compute_node_c,,,,,,direct,,codellama/CodeLlama-7b-hf,CodeLlama,,,,,,,,,,artifacts/predictions/remote_codellama_7b_e1_gpu4_retry__vul_line__direct/predictions.jsonl,,remote_codellama_7b_e1_gpu4_retry__vul_line__direct,1112.0946391166665,matrix_summary,completed,0.05237493227379447,,,artifacts/summaries/remote_codellama_7b_e1_gpu4_retry__vul_line__direct/matrix_summary.json,vul_line,line,807,0.08360981782123787,,,,
,91.43866171003718,,0.7914485767909362,46163.11485700231,0.20817843866171004,,compute_node_c,,,,,,prompt,artifacts/metrics/remote_codellama_7b_e1_gpu4_retry__vul_line__prompt/metrics.json,codellama/CodeLlama-7b-hf,CodeLlama,,,,,,,,,,artifacts/predictions/remote_codellama_7b_e1_gpu4_retry__vul_line__prompt/predictions.jsonl,,remote_codellama_7b_e1_gpu4_retry__vul_line__prompt,1123.9708529000002,matrix_summary,completed,0.049846487267473365,0.057001,0.044288,artifacts/summaries/remote_codellama_7b_e1_gpu4_retry__vul_line__prompt/matrix_summary.json,vul_line,line,807,0.08700886989605774,0.179265,0.057445,,
,91.43866171003718,,0.7914485767909362,46159.44466653936,0.3073110285006196,,compute_node_a,,,,,,direct,artifacts/metrics/machine_a_deepseekcoder13b_e1__vul_line__direct/metrics.json,deepseek-ai/deepseek-coder-1.3b-base,DeepSeek-Coder,,,,,,,,,,artifacts/predictions/machine_a_deepseekcoder13b_e1__vul_line__direct/predictions.jsonl,,machine_a_deepseekcoder13b_e1__vul_line__direct,777.1496769333334,matrix_summary,completed,0.056709409427487804,0.064849,0.050385,artifacts/summaries/machine_a_deepseekcoder13b_e1__vul_line__direct/matrix_summary.json,vul_line,line,807,0.13296428042533023,0.216439,0.095956,,
,91.43866171003718,artifacts/checkpoints/machine_a_deepseekcoder13b_e1__vul_line__full/checkpoint-22502,0.7914485767909362,46160.43912818287,0.8376703841387856,,compute_node_a,,,,,,full,artifacts/metrics/machine_a_deepseekcoder13b_e1__vul_line__full/metrics.json,deepseek-ai/deepseek-coder-1.3b-base,DeepSeek-Coder,,,,,,,,,,artifacts/predictions/machine_a_deepseekcoder13b_e1__vul_line__full/predictions_test.jsonl,,machine_a_deepseekcoder13b_e1__vul_line__full,652.2197644166666,matrix_summary,completed,0.28824273072060685,0.329616,0.256098,artifacts/summaries/machine_a_deepseekcoder13b_e1__vul_line__full/matrix_summary.json,vul_line,line,807,0.39405798468216224,0.48988,0.329589,10155,1529
,91.43866171003718,,0.7914485767909362,46159.98619775463,0.2949194547707559,,compute_node_a,,,,,,prompt,artifacts/metrics/machine_a_deepseekcoder13b_e1__vul_line__prompt/metrics.json,deepseek-ai/deepseek-coder-1.3b-base,DeepSeek-Coder,,,,,,,,,,artifacts/predictions/machine_a_deepseekcoder13b_e1__vul_line__prompt/predictions.jsonl,,machine_a_deepseekcoder13b_e1__vul_line__prompt,779.8049225666667,matrix_summary,completed,0.05815423514538559,0.066501,0.051669,artifacts/summaries/machine_a_deepseekcoder13b_e1__vul_line__prompt/matrix_summary.json,vul_line,line,807,0.12534365078920698,0.220157,0.087612,,
