accuracy,avg_candidates_per_contract,best_checkpoint,candidate_recall,contract_hit,empty_output_rate,execution_source,f1,format_failure_rate,macro_f1,macro_precision,macro_recall,method,metrics_path,model,model_family,multi_label_examples,multi_label_f1,multi_label_hit_accuracy,multi_label_precision,multi_label_predictions_file,multi_label_recall,parseable_ratio,precision,predictions_file,recall,run_name,status,strict_f1,strict_precision,strict_recall,task,test_examples,tolerant_f1,tolerant_precision,tolerant_recall,train_examples,val_examples,weighted_f1,weighted_precision,weighted_recall
0.24247,,,,,,compute_node_a,0.197143,,0.090532,0.536346,0.144791,direct,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__direct/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,521,0.099081,0.18618,0.18618,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__direct/predictions_multi_label.jsonl,0.067502,,0.24247,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__direct/predictions.jsonl,0.166094,formal_balanced721_qwen25coder15b_e1__vul_type__direct,completed,,,,vul_type,1992,,,,,,,,
0.770582,,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_type__full/checkpoint-3124,,,,compute_node_a,0.626531,,0.472896,0.855912,0.387488,full,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__full/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,521,0.42288,0.794626,0.794626,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__full/predictions_test_multi_label.jsonl,0.2881,,0.770582,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__full/predictions_test.jsonl,0.527854,formal_balanced721_qwen25coder15b_e1__vul_type__full,completed,,,,vul_type,1992,,,,24992,3829,,,
0.194779,,,,,,compute_node_a,0.158367,,0.054361,0.128064,0.112749,prompt,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__prompt/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,521,0.100102,0.1881,0.1881,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__prompt/predictions_multi_label.jsonl,0.068198,,0.194779,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__prompt/predictions.jsonl,0.133425,formal_balanced721_qwen25coder15b_e1__vul_type__prompt,completed,,,,vul_type,1992,,,,,,,,
0.642068,,artifacts/checkpoints/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/checkpoint-3124,,,,compute_node_a,0.522041,,0.404862,0.681352,0.324511,qlora,artifacts/metrics/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/metrics.json,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2.5-Coder,521,0.369765,0.694818,0.694818,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/predictions_test_multi_label.jsonl,0.251914,,0.642068,artifacts/predictions/formal_balanced721_qwen25coder15b_e1__vul_type__qlora/predictions_test.jsonl,0.439821,formal_balanced721_qwen25coder15b_e1__vul_type__qlora,completed,,,,vul_type,1992,,,,24992,3829,,,
0.5404147270418959,,,,,,compute_node_c,0.2836411609498681,,,,,direct,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,,,,,,,,0.7026143790849673,artifacts/predictions/remote_qwen25coder14b_e1__has_vul__direct/predictions.jsonl,0.17768595041322313,remote_qwen25coder14b_e1__has_vul__direct,completed,,,,has_vul,2363,,,,,,,,
0.5048666948793906,,,,,,compute_node_c,0.17952314165497896,,,,,prompt,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,,,,,,,,0.5925925925925926,artifacts/predictions/remote_qwen25coder14b_e1__has_vul__prompt/predictions.jsonl,0.10578512396694215,remote_qwen25coder14b_e1__has_vul__prompt,completed,,,,has_vul,2363,,,,,,,,
0.7685146000846381,,artifacts/checkpoints/remote_qwen25coder14b_e1__has_vul__qlora/checkpoint-2177,,,,compute_node_c,0.7717980809345014,,,,,qlora,Qwen2.5-Coder,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,,,,,,,,0.7792754844144903,,0.7644628099173554,remote_qwen25coder14b_e1__has_vul__qlora,completed,,,,has_vul,2363,,,,17411,4667,,,
,91.438662,,0.791449,0.273854,,compute_node_c,,,,,,direct,artifacts/metrics/remote_qwen25coder14b_e1__vul_line__direct/metrics.json,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,,,,,,,,,artifacts/predictions/remote_qwen25coder14b_e1__vul_line__direct/predictions.jsonl,,remote_qwen25coder14b_e1__vul_line__direct,completed,0.049846,0.057001,0.044288,vul_line,807,0.105886,0.18133,0.074775,,,,,
,91.438662,,0.791449,0.315985,,compute_node_c,,,,,,prompt,artifacts/metrics/remote_qwen25coder14b_e1__vul_line__prompt/metrics.json,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,,,,,,,,,artifacts/predictions/remote_qwen25coder14b_e1__vul_line__prompt/predictions.jsonl,,remote_qwen25coder14b_e1__vul_line__prompt,completed,0.048402,0.055349,0.043004,vul_line,807,0.133612,0.200743,0.100128,,,,,
,91.438662,artifacts/checkpoints/remote_qwen25coder14b_e1__vul_line__qlora/checkpoint-22502,0.791449,0.821561,,compute_node_c,,,,,,qlora,artifacts/metrics/remote_qwen25coder14b_e1__vul_line__qlora/metrics.json,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,,,,,,,,0.315159,artifacts/predictions/remote_qwen25coder14b_e1__vul_line__qlora/predictions_test.jsonl,0.244865,remote_qwen25coder14b_e1__vul_line__qlora,completed,0.275601,0.315159,0.244865,vul_line,807,0.393966,0.507641,0.321887,10155,1529,,,
0.250502,,,,,,compute_node_c,0.203673,,0.117382,0.43597,0.155271,direct,artifacts/metrics/remote_qwen25coder14b_e1__vul_type__direct/metrics.json,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,521,0.107252,0.201536,0.201536,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__direct/predictions_multi_label.jsonl,0.073069,,0.250502,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__direct/predictions.jsonl,0.171596,remote_qwen25coder14b_e1__vul_type__direct,completed,,,,vul_type,1992,,,,,,,,
0.208333,,,,,,compute_node_c,0.169388,,0.058547,0.369994,0.122606,prompt,artifacts/metrics/remote_qwen25coder14b_e1__vul_type__prompt/metrics.json,Qwen/Qwen2.5-Coder-14B-Instruct,Qwen2.5-Coder,521,0.102145,0.191939,0.191939,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__prompt/predictions_multi_label.jsonl,0.069589,,0.208333,artifacts/predictions/remote_qwen25coder14b_e1__vul_type__prompt/predictions.jsonl,0.14271,remote_qwen25coder14b_e1__vul_type__prompt,completed,,,,vul_type,1992,,,,,,,,
