config_bundle,config_record_id,config_sha256,machine,method,model,run_name,source_path,task
artifacts/configs/remote_codellama_13b_e1__vul_type__prompt/config.json,remote_codellama_13b_e1_vul_type_prompt,6eef34a3efb904e46928024ce08e0d310cd771780af9314f86c3965ec2c0aa30,compute_node_c,prompt,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__vul_type__prompt,artifacts/configs/remote_codellama_13b_e1__vul_type__prompt/config.json,vul_type
artifacts/configs/remote_codellama_13b_e1__vul_type__qlora/config.json,remote_codellama_13b_e1_vul_type_qlora,c9872d08d291eafbde89396e38d5b4955f54758b30fec3f2280604df063a4b21,compute_node_c,qlora,codellama/CodeLlama-13b-hf,remote_codellama_13b_e1__vul_type__qlora,artifacts/configs/remote_codellama_13b_e1__vul_type__qlora/config.json,vul_type
artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__direct/config.json,remote_codellama34b_e1_gpu2_has_vul_vul_type_has_vul_direct,96743b3ca17b5dbba9df8acb9ed25e467d52c0e82398c74f9e0cac684e52ae40,compute_node_c,direct,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__direct,artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__direct/config.json,has_vul
artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__prompt/config.json,remote_codellama34b_e1_gpu2_has_vul_vul_type_has_vul_prompt,81a8b7b66bc691c6e5bdde3b19214e613d9bbeece2c2a98174eb5a11c0499264,compute_node_c,prompt,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__prompt,artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__prompt/config.json,has_vul
artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__qlora/config.json,remote_codellama34b_e1_gpu2_has_vul_vul_type_has_vul_qlora,502d31da68f736eb2177b97644e7704749a4f4be5a67d85eaa63eee949cda9a2,compute_node_c,qlora,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__qlora,artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__has_vul__qlora/config.json,has_vul
artifacts/configs/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/config.json,remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard_vul_line_direct,65688b933a4ca95864621126972ebac071f81d3178012b4fc3f0865ba7ce8390,compute_node_c,direct,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct,artifacts/configs/remote_codellama34b_e1_gpu1_vul_line_direct_after_wizard__vul_line__direct/config.json,vul_line
artifacts/configs/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/config.json,westd_codellama34b_e1_vul_line_prompt_vul_line_prompt,fdc836a72f7af0fd920cbfe1bdbf9d6a062732c25e784003ae890641d12f33b8,compute_node_d,prompt,codellama/CodeLlama-34b-hf,westd_codellama34b_e1_vul_line_prompt__vul_line__prompt,artifacts/configs/westd_codellama34b_e1_vul_line_prompt__vul_line__prompt/config.json,vul_line
artifacts/configs/remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora/config.json,remote_codellama34b_e1_gpu3_vul_line_qlora_split_vul_line_qlora,5a61efa781ba966ccb11819b44f908e911a96b3bae4114a8d1a589a078f27b9c,compute_node_c,qlora,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora,artifacts/configs/remote_codellama34b_e1_gpu3_vul_line_qlora_split__vul_line__qlora/config.json,vul_line
artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct/config.json,remote_codellama34b_e1_gpu2_has_vul_vul_type_vul_type_direct,d88c3aac321f7f937083e8362410a3d91918c1d5a439efc3e226736086d003c8,compute_node_c,direct,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct,artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__direct/config.json,vul_type
artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt/config.json,remote_codellama34b_e1_gpu2_has_vul_vul_type_vul_type_prompt,d299975b38e94caa9bcf996b8990bba0871520f82b1e7e659b611eaee417ce4e,compute_node_c,prompt,codellama/CodeLlama-34b-hf,remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt,artifacts/configs/remote_codellama34b_e1_gpu2_has_vul_vul_type__vul_type__prompt/config.json,vul_type
